Position,Location,Gender,Education,Experience (Years),Salary
Apache Druid,Ramnagar,Male,B.A,8,1554.348
Apache Druid,New Delhi,Male,B.Com,13,911.239
Computer vision,Gurugram,Male,B.Com,7,719.084
Computer vision,Noida,Male,BCA,21,1303.42
Computer vision,Bilaspur,Female,B.Tech/B.E.,19,622.097
Maths Teacher,Pune,Female,B.Tech/B.E.,9,2285.148
Maths Teacher,New Delhi,Male,B.Tech/B.E.,9,2231.685
Maths Teacher,Noida,Female,B.Tech/B.E.,9,1809.787
Python backend,Pune,Male,B.Tech/B.E.,5,1308.447
Python backend,Mumbai,Male,B.A,6,849.46
Python backend,Kolkata,Female,B.Tech/B.E.,11,1503.553
Python backend,Navi Mumbai,Male,B.Tech/B.E.,13,1613.714
Machine learning with CV,New Delhi,Female,B.Tech/B.E.,22,955.784
Machine learning with CV,Guwahati,Female,B.Tech/B.E.,13,830.091
Python backend,Bengaluru,Female,B.Tech/B.E.,23,1637.964
Machine learning with CV,Bengaluru,Male,BCA,14,2097.669
Advance Maths Teacher,Chennai,Female,B.Sc,25,1604.583
Python backend,New Delhi,Female,B.Sc,14,1307.961
Python backend,Bengaluru,Female,B.Tech/B.E.,13,1110.995
Python Backend,Gurugram,Female,B.Tech/B.E.,16,1481.301
Python Backend,New Delhi,Female,B.Sc,18,593.143
Python Backend,Kolkata,Male,B.Com,12,1668.246
Python Backend,Pune,Female,B.Tech/B.E.,19,1997.729
Python Backend,New Delhi,Female,B.Tech/B.E.,19,946.031
Python Backend,New Delhi,Male,B.A,27,2299.845
Python Backend,New Delhi,Male,B.Tech/B.E.,24,628.921
Python Backend,Nagpur,Female,B.Tech/B.E.,17,1349.825
Python backend,Noida,Male,B.Tech/B.E.,26,590.187
python backend,Mumbai,Male,B.Tech/B.E.,24,2039.488
Python Backend,New Delhi,Male,B.A,17,807.703
Machine learning with CV,Tiruchirapalli,Male,B.Tech/B.E.,10,1237.274
Python backend,Mumbai,Male,B.A,26,2012.853
Python backend,New Delhi,Male,BCA,12,1812.522
Python backend,Pune,Male,B.Com,15,2052.66
Python backend,Bengaluru,Male,B.Tech/B.E.,18,2021.97
Python backend,Pune,Male,B.Sc,11,1940.71
Python backend,Pune,Male,B.Tech/B.E.,28,2467.284
ML (NLP),Noida,Male,B.A,23,998.984
ML (NLP),Bengaluru,Male,B.Tech/B.E.,21,1828.925
ML (NLP),Noida,Male,B.Tech/B.E.,25,874.893
Machine learning with CV,Dindigul,Male,B.Com,10,1627.814
Machine learning with CV,Noida,Male,B.Sc,27,1822.578
Python backend,Mumbai,Female,B.Com,8,2128.152
Python backend,Bengaluru,Male,B.Tech/B.E.,28,1765.821
Python Backend,Siliguri,Male,BCA,10,2282.619
Python Backend,Kolkata,Male,B.Sc,16,2304.533
Python Backend,Hyderabad,Female,BCA,27,1818.827
HR Data Analyst BA,Bengaluru,Male,B.Sc,26,2194.84
Research Analyst,Mumbai,Female,B.Tech/B.E.,16,1110.157
ServiceNow,New Delhi,Female,B.Sc,22,684.974
Python Backend,New Delhi,Female,B.Tech/B.E.,12,508.807
Python Backend,New Delhi,Male,BCA,25,987.64
Python Backend,Noida,Female,BCA,25,1350.62
Python Backend,Gurugram,Male,B.Sc,25,1917.24
Python Backend,"Noida, Delhi - Uttar Pradesh",Female,B.Tech/B.E.,6,2398.653
Python Backend,Bengaluru,Male,B.Tech/B.E.,23,2467.8
ServiceNow,Pune,Female,Diploma,10,583.078
AWS Solution Architect,Mumbai,Female,B.A,12,897.667
RPA Developer,Noida,Male,B.Sc,22,2120.21
C and Linux,Navi Mumbai and pune - Maharashtra,Male,B.Sc,26,695.215
Python Backend,Bengaluru,Male,B.Sc,7,1309.959
Data Science,Lucknow,Male,BCA,9,901.134
AWS Databricks,Ahmedabad,Male,B.B.A/ B.M.S,8,2320.055
Data Science,Bengaluru,Male,B.Tech/B.E.,22,2406.501
Research Analyst,Chennai,Male,BCA,23,815.724
AWS Solution Architect,Jamshedpur,Female,B.Sc,5,562.347
ServiceNow,Pune,Male,Diploma,10,1695.745
Python Backend,"New Delhi, Delhi, NOIDA, Pune - Delhi",Male,BCA,25,2075.236
Python Backend,New Delhi,Male,B.Tech/B.E.,14,714.383
Python Backend,Bengaluru,Female,B.A,8,866.821
C and Linux,Bengaluru,Male,B.Tech/B.E.,11,1189.249
Data Science,Chennai,Female,B.Tech/B.E.,7,982.171
C and Linux,Pune,Male,B.Tech/B.E.,20,706.241
Research Analyst,Bengaluru,Female,B.Tech/B.E.,27,950.664
"HR, BA, Data Science",Chennai,Male,B.Tech/B.E.,10,1800.542
Python Backend,Noida,Male,B.Tech/B.E.,8,1672.472
Python Backend,Mumbai,Male,B.Tech/B.E.,18,735.354
Python Backend,New Delhi,Male,B.Tech/B.E.,6,1873.456
Python Backend,Visakhapatnam,Male,B.Sc,26,1090.154
IOS Developer,Mohali,Female,B.Sc,5,1004.702
Python Backend,Bengaluru,Male,B.Sc,20,1038.443
ServiceNow,Kolkata,Male,B.A,5,2420.716
Python Backend,Bengaluru,Female,B.Com,11,506.448
Python Backend,Kanpur,Male,B.Com,10,1856.279
Computer Vision,Bengaluru,Female,B.Com,9,2102.045
Data Science,Gurugram,Male,B.Sc,25,983.77
Data Science+ ML,Lucknow,Male,B.Com,14,2409.51
Research Analyst,Gurugram,Male,B.Tech/B.E.,12,1583.798
Data Science,Nagpur,Female,B.Tech/B.E.,17,563.857
Data Science,Bengaluru,Female,B.Tech/B.E.,13,964.515
Hr data business analyst (BA),Nagpur,Male,B.Com,21,2208.056
IOS Developer,Pune,Female,B.B.A/ B.M.S,27,2184.996
ServiceNow,New Delhi,Male,B.Sc,12,2136.054
Hr data business analyst (BA),New Delhi,Female,B.Tech/B.E.,6,1401.004
Python Backend,New Delhi,Male,Diploma,22,1798.024
Hr data business analyst (BA),Gudivada,Male,B.B.A/ B.M.S,15,1850.543
Data Science+ Computer Vision,New Delhi,Male,BCA,21,1809.087
python + data science,Siliguri,Male,B.Sc,11,693.515
Data Science,nioda - Uttar Pradesh,Female,B.Tech/B.E.,10,1912.952
Data Science,Noida,Female,B.Com,8,1006.763
AWS Databricks,Mumbai,Female,B.Tech/B.E.,19,1702.218
ELK Engineer+ Full Stack,New Delhi,Male,B.Com,19,2053.249
RPA Developer,Pune,Male,B.A,20,663.305
python with computer vision,New Delhi,Female,B.Tech/B.E.,25,1687.87
Research Analyst,Noida,Male,B.Sc,19,562.64
Data Engineer,Noida,Female,B.Tech/B.E.,14,1401.598
Research Analyst,Gurugram,Male,B.Sc,21,1569.168
IOS Developer,New Delhi,Male,B.Com,10,645.893
Data Science,Jaipur,Female,B.Com,16,1160.32
Hr data business analyst (BA),Indore,Female,B.Tech/B.E.,23,1043.098
ServiceNow,Bengaluru,Male,B.Sc,17,1355.651
Data Science,Hyderabad,Female,B.Tech/B.E.,6,609.875
Research Analyst,Mumbai,Male,B.Sc,21,2143.293
python + data science,Noida,Male,BCA,13,1103.643
Linux +C,Bilaspur,Female,B.Sc,21,1421.251
Linux +C,New Delhi,Male,B.Tech/B.E.,22,1107.541
AML Triage Analyst,Pune,Male,B.Tech/B.E.,16,2033.087
Hr data business analyst (BA),New Delhi,Male,Diploma,15,905.464
python + data science,Noida,Male,B.Tech/B.E.,7,1940.059
Research Analyst,Pune,Female,BCA,22,2498.153
Research Analyst,Hyderabad,Male,B.Tech/B.E.,25,518.108
Research Analyst,"Mumbai, Maharashtra, pune - Maharashtra",Male,B.A,10,1094.401
Research Analyst,Kolkata,Male,B.Tech/B.E.,26,2065.523
Research Analyst,Navi Mumbai,Male,B.Tech/B.E.,12,1767.34
Research Analyst,New Delhi,Female,B.A,7,1050.585
Research Analyst,Guwahati,Female,B.Com,10,2297.242
ServiceNow,Bengaluru,Male,B.Com,13,1941.325
RPA Developer,Bengaluru,Female,Diploma,19,1679.89
Snowflake Admin,Chennai,Male,B.Com,5,2222.28
Big Data with GCP Architect,New Delhi,Female,BCA,21,1758.952
Maths Teacher,Bengaluru,Female,B.A,6,819.45
ServiceNow,Gurugram,Female,BCA,21,1376.241
Maths Teacher,New Delhi,Male,B.Sc,20,2291.033
RPA Developer,Kolkata,Male,B.Sc,16,1433.34
Data Scientist,Pune,Male,BCA,9,987.484
Maths Teacher,New Delhi,Male,Diploma,26,600.888
Maths Teacher,New Delhi,Female,B.Sc,17,1574.77
Maths Teacher,New Delhi,Female,B.Tech/B.E.,5,2178.523
Maths Teacher,Noida,Male,B.Com,6,2429.463
Maths Teacher,Mumbai,Male,B.Com,16,1377.692
Maths Teacher,New Delhi,Male,BCA,11,2306.935
Control Assurance,Tiruchirapalli,Male,B.A,15,1483.206
RPA Developer,Mumbai,Male,B.A,7,1416.225
Maths Teacher,New Delhi,Male,BCA,16,1795.672
ServiceNow,Pune,Male,B.Com,9,1861.583
ServiceNow,Bengaluru,Male,B.Sc,18,2268.086
snow flake + oracle cloud data architect,Pune,Male,B.Com,26,2318.106
Research Anlyst,Pune,Female,Diploma,18,1478.81
Maths Teacher,Bengaluru,Male,B.Com,11,2256.542
Data Engineer/Architect,Noida,Female,B.Com,25,1839.196
IOS Developer,Dindigul,Male,B.Sc,23,2128.724
BA+ Manual Testing,Noida,Male,B.Com,22,1088.331
Maths Teacher,"Mumbai, Maharashtra - Maharashtra",Female,BCA,22,2430.958
AWS solution Architect,Bengaluru,Female,B.Tech/B.E.,7,2120.446
"C, C++ And Linux",Siliguri,Female,B.Tech/B.E.,28,2491.581
Solution Architect,Kolkata,Male,B.Tech/B.E.,27,1681.458
AWS databricks,Hyderabad,Male,B.Com,28,1439.914
Maths Teacher,Bengaluru,Male,B.Tech/B.E.,22,1143.507
Research Anlyst,Mumbai,Male,B.Tech/B.E.,22,2414.016
Data Engineer/Anlystics,New Delhi,Female,B.Tech/B.E.,17,1201.539
BA+ Manual Testing,New Delhi,Female,B.A,6,1520.629
QA Automation Grafana,New Delhi,Female,BCA,27,2296.055
GCP DATA Engineer,Noida,Male,B.Tech/B.E.,19,1150.349
Data Engineer/Anlystics,Hyderabad,Male,B.Tech/B.E.,26,868.46
IOS developer,"Noida, Delhi - Uttar Pradesh",Male,B.Com,16,1194.235
BA+ Manual Testing,Bengaluru,Male,B.Tech/B.E.,6,896.461
math faculity,Pune,Male,B.A,7,2433.968
Murex,Mumbai,Male,B.Sc,11,983.993
Technical lead Data Engineer,Bengaluru,Male,BCA,28,1721.396
QA Automation Grafana,Noida,Male,Diploma,10,2414.234
API integration Apigee,Noida,Male,B.Tech/B.E.,14,1679.716
HR Data BA,Noida,Male,B.Sc,19,1209.687
IAM Test Analyst,Pune,Female,BCA,9,832.604
Maths Teacher,Noida,Male,BCA,17,2331.1
Servicenow SecOps,New Delhi,Female,B.Tech/B.E.,23,2138.158
Computer Vision,Navi Mumbai and pune - Maharashtra,Male,B.Tech/B.E.,16,1167.018
Maths Teacher,Bengaluru,Female,B.Com,15,980.265
Maths Teacher,Lucknow,Male,Diploma,13,2325.934
BA+ Manual Testing,Ahmedabad,Female,B.Tech/B.E.,20,647.644
GCP Admin,Noida,Male,B.Tech/B.E.,8,874.945
Production support,Bengaluru,Female,B.B.A/ B.M.S,14,536.308
BA+ Manual Testing,New Delhi,Female,B.Sc,10,1832.633
Cloud security,Jamshedpur,Male,B.Tech/B.E.,17,2010.112
GCP DATA Engineer,Pune,Male,BCA,27,997.642
Maths Teacher,New Delhi,Male,B.Com,21,1976.255
Maths Teacher,Bengaluru,Male,B.Com,15,1607.29
Cloud security,Bengaluru,Male,B.Sc,22,1123.952
Cloud security,Chennai,Female,B.A,13,2383.915
GCP DATA Engineer,Pune,Female,B.Com,19,1784.003
Production support,Bengaluru,Male,B.Tech/B.E.,14,1958.127
QA Automation Grafana,Chennai,Male,B.Tech/B.E.,22,2333.339
GCP Admin,Noida,Male,B.A,9,1582.615
GCP Admin,Mumbai,Male,BCA,14,876.61
"IICS, Technical Architect",New Delhi,Female,BCA,17,729.32
Cloud security,Visakhapatnam,Male,B.Tech/B.E.,14,1373.652
GCP DATA Engineer,Mohali,Male,BCA,9,759.578
Cloud security,Bengaluru,Female,B.Sc,11,1274.728
Bigdata Eng with GCP,Kolkata,Male,B.Tech/B.E.,28,2146.475
DevSecOps Engineer,Bengaluru,Male,B.Tech/B.E.,11,2229.168
Maths Teacher,Kanpur,Female,B.Sc,21,1534.355
DevSecOps Engineer,Bengaluru,Male,B.Com,25,1704.611
C and Linux,Gurugram,Female,B.Tech/B.E.,21,2271.57
DevSecOps Engineer,Lucknow,Male,B.Tech/B.E.,28,1228.97
BA+ Manual Testing,Gurugram,Female,B.A,18,1351.798
QA Automation Grafana,Nagpur,Male,BCA,17,2295.41
Maths Teacher,Bengaluru,Female,B.Tech/B.E.,13,1185.117
Mainfrme Nasco,Nagpur,Male,B.B.A/ B.M.S,5,1920.222
Production support,Pune,Male,B.A,26,1861.289
IOS Developer,New Delhi,Female,B.A,26,1774.321
DevSecOps Engineer,Mumbai,Female,B.Sc,10,1442.922
IICS Data Engineer,Noida,Female,B.Com,21,738.479
GCP Admin,Noida,Male,B.Tech/B.E.,8,1615.125
"IICS, Advisor Data Engineer",Patna,Male,Diploma,5,2461.441
AWS solution Architect,Bengaluru,Female,B.A,20,1473.427
GCP DATA Engineer,Kurnool,Male,B.A,17,1756.329
GCP DATA Engineer,work from home banglore - Karnataka,Male,B.Tech/B.E.,20,1604.586
Bigdata Eng with GCP,Hyderabad,Female,BCA,26,2164.568
Maths Teacher,Hyderabad,Female,B.Tech/B.E.,16,1057.852
GCP Admin,Noida,Male,B.A,13,1738.139
Bigdata Eng with GCP,Noida,Male,B.Tech/B.E.,6,2472.243
GCP Admin,Noida,Female,B.Tech/B.E.,15,608.673
AWS Architect,New Delhi,Male,B.Tech/B.E.,19,1379.176
AWS Architect - (All cloud),Dehli - Delhi,Male,B.Tech/B.E.,11,1058.927
Basic/Advanced Maths Teacher,Hyderabad,Female,B.Tech/B.E.,24,2239.406
"IICS, Lead Technology Analyst",Noida,Male,B.Tech/B.E.,16,1338.312
IICS Data Engineer,Dhanbad,Female,B.Tech/B.E.,9,2484.937
"Data Engineer, Technical Lead",New Delhi,Female,B.Com,5,981.46
"IICS, Associate Architect",New Delhi,Female,B.Tech/B.E.,23,761.949
"C and Linux, Software Architect",Bengaluru,Male,B.Com,6,956.619
AML Triage Analyst,Pune,Male,B.Sc,19,2238.525
Maths Teacher,New Delhi,Male,B.Sc,7,843.107
GCP Admin,Bengaluru,Female,BCA,19,539.195
RPA Developer,Ghaziabad,Male,B.Tech/B.E.,12,620.186
collibra,Mohali,Male,B.Sc,28,2188.637
collibra,New Delhi,Male,B.Tech/B.E.,10,2289.509
Research Analyst,Hyderabad,Male,B.Tech/B.E.,28,1114.015
Computer Vision,New Delhi,Male,BCA,27,1874.32
collibra,Noida,Male,B.A,23,1088.249
Computer Vision,Chennai,Male,B.B.A/ B.M.S,27,2298.991
Maths Teacher,New Delhi,Female,B.Tech/B.E.,24,1723.458
GCP DATA Engineer,New Delhi,Female,B.A,20,1749.017
HR DATA BA,Dehradun,Male,B.Tech/B.E.,24,1400.484
"Business Analyst - Banking, & payment sectors",Bengaluru,Male,B.A,15,952.427
Mendix,Noida,Male,Diploma,27,1200.057
Maths Teacher,New Delhi,Male,B.Com,18,1696.787
Maths Teacher,Kolkata,Male,B.Tech/B.E.,9,2228.288
Maths Teacher,Erode,Female,BCA,5,728.662
Maths Teacher,New Delhi,Male,B.Tech/B.E.,6,1496.339
Maths Teacher,New Delhi,Female,B.Tech/B.E.,9,1150.73
Maths Teacher,New Delhi,Female,B.Tech/B.E.,26,2153.836
RPA Developer,Kolkata,Female,B.Sc,7,1359.374
collibra,New Delhi,Male,B.Tech/B.E.,14,1849.579
collibra,New Delhi,Male,B.Tech/B.E.,12,1618.018
GCP ADMIN,Noida,Male,B.Tech/B.E.,18,1266.073
Senior Business Analyst-TDX,New Delhi,Male,B.Sc,20,931.49
Senior Business Analyst,New Delhi,Female,BCA,24,2302.488
Computer Vision,New Delhi,Male,B.Com,15,1525.582
Computer Vision,Mumbai,Male,B.Tech/B.E.,15,1658.536
Data Engineer,New Delhi,Male,B.Com,17,1040.125
Mainframe Support,Chennai,Male,BCA,20,974.489
Computer Vision,New Delhi,Female,B.B.A/ B.M.S,13,1044.406
Research Analyst,Hyderabad,Female,B.Tech/B.E.,7,1773.029
middleware/ soution architect,Hyderabad,Female,BCA,8,2312.414
C & Linux,Hyderabad,Male,B.Tech/B.E.,9,999.676
Computer Vision,New Delhi,Male,B.Com,8,1736.696
Computer Vision,Pune,Male,B.Com,25,777.542
"Cloud Architect -(AWS, Azure, GCP) , Snowflake",Bengaluru,Female,B.Tech/B.E.,8,2415.231
Computer Vision,New Delhi,Female,B.Tech/B.E.,22,1092.871
Computer Vision,Bengaluru,Male,B.Tech/B.E.,13,560.864
cloud architect + other roles as well,New Delhi,Male,B.Tech/B.E.,8,1182.651
BA+ Manual Testing,Kolkata,Male,B.Tech/B.E.,12,2251.012
solution architect,New Delhi,Male,B.Sc,17,2261.326
Research Analyst,Meerut,Male,B.Tech/B.E.,19,2050.386
Senior Business Analyst-TDX,New Delhi,Male,B.A,17,1761.913
C & Linux,Kolkata,Male,B.Com,20,680.345
Maths Teacher,New Delhi,Male,B.Sc,23,1156.394
Maths Teacher,Pune,Female,B.Sc,22,872.683
Maths Teacher,Noida,Male,B.Com,14,605.55
Python Backend Developer,New Delhi,Male,B.A,20,2146.666
ba /collibra user (available for today's interview as well),Bhubaneswar,Female,B.Sc,8,2344.339
BA+ Manual Testing,New Delhi,Male,B.Sc,13,2407.124
C & Linux,New Delhi,Male,B.Com,24,573.623
solution architect,New Delhi,Female,B.Tech/B.E.,27,1080.081
Senior Business Analyst-TDX,Noida,Female,B.A,11,1937.887
Research Analyst,Hyderabad,Male,B.Sc,11,1671.819
Mainframe Support,Chennai,Male,B.Tech/B.E.,12,657.488
mainframe development,Rudrpur - Uttarakhand,Male,B.Tech/B.E.,19,1953.609
Mainframe Support,Kolkata,Male,B.Tech/B.E.,15,874.555
collection manager,Hyderabad,Female,B.Sc,23,2472.429
Mainframe Support,Bengaluru,Male,BCA,8,611.23
Research Analyst,Bengaluru,Male,B.Tech/B.E.,19,1940.683
Computer Vision,Hyderabad,Male,B.Tech/B.E.,18,1054.472
Mainframe Support,Bengaluru,Female,B.A,27,1280.012
Computer Vision,Noida,Male,B.Tech/B.E.,20,1083.76
Research Analyst,Noida,Male,B.Tech/B.E.,15,1556.616
Senior Business Analyst-TDX,Hyderabad,Female,B.Tech/B.E.,14,1776.173
Research Analyst,Mumbai,Male,B.Tech/B.E.,10,1670.844
Research Analyst,New Delhi,Male,B.Com,8,2143.458
Research Analyst,Mumbai,Female,B.Tech/B.E.,15,742.252
Mainframe Support,Gurugram,Male,B.Sc,19,2284.084
Research Analyst,Pune,Male,B.Sc,6,906.763
Research Analyst,Mumbai,Male,B.Sc,7,1962.112
Senior Business Analyst-TDX,New Delhi,Male,BCA,26,2448.838
Azure cloud Architect,Hyderabad,Male,B.Sc,10,972.37
This mail id already exists in our system,New Delhi,Female,B.A,15,933.075
Senior Business Analyst-TDX,Gurugram,Male,B.Tech/B.E.,27,700.283
Research Analyst,Kanpur,Male,B.Tech/B.E.,21,1704.574
Research Analyst,Noida,Male,B.Com,26,861.699
Research Analyst,New Delhi,Male,BCA,14,911.243
Research Analyst,Dehradun,Male,B.Tech/B.E.,26,2493.643
Research Analyst,New Delhi,Male,BCA,25,1887.236
Research Analyst,Pune,Male,B.A,5,1046.681
Research Analyst,Noida,Male,B.Tech/B.E.,26,706.408
Research Analyst,Bengaluru,Female,B.Tech/B.E.,12,2051.347
Research Analyst,New Delhi,Male,B.B.A/ B.M.S,21,916.646
Research Analyst,Pune,Female,B.Com,9,792.965
Research Analyst,Hyderabad,Female,BCA,7,2211.935
Research Analyst,Pune,Male,B.Sc,22,1330.383
Research Analyst,New Delhi,Male,B.Com,8,2220.929
Research Analyst,New Delhi,Male,B.A,16,873.062
Research Analyst,Kolkata,Male,B.B.A/ B.M.S,28,2336.208
Research Analyst,Pune,Male,B.Sc,5,1689.802
Research Analyst,Nagpur,Female,B.Tech/B.E.,14,693.233
Research Analyst,Lucknow,Male,B.Sc,15,1020.675
BA+ Manual Testing,Pune,Female,B.Sc,16,1544.108
"IICS Developer, Assistant Consultant",Faridabad,Female,B.A,15,1469.367
High Touch Operations,New Delhi,Female,B.Tech/B.E.,10,2466.898
High Touch Operations,Pune,Male,B.Tech/B.E.,7,757.26
BA TDX,New Delhi,Male,B.Sc,23,835.362
research analyst,Bengaluru,Male,Diploma,23,2304.052
Research Analyst,New Delhi,Male,B.Tech/B.E.,28,1926.061
Research Analyst,New Delhi,Female,B.Tech/B.E.,26,1176.034
Research Analyst,Chennai,Female,BCA,20,2096.17
Research Analyst,New Delhi,Female,B.Tech/B.E.,17,956.878
Research Analyst,Bengaluru,Female,B.Tech/B.E.,17,1597.011
Research Analyst,Jalgaon,Male,BCA,6,1851.148
Research Analyst,Pune,Female,B.A,23,1486.214
Research Analyst,Pune,Female,B.Com,6,1371.778
production middleware,Mumbai,Male,B.Tech/B.E.,26,1666.247
Research Analyst,Ghaziabad,Female,BCA,11,784.232
production middleware,New Delhi,Male,BCA,14,954.297
Research Analyst,Bengaluru,Male,B.Tech/B.E.,9,634.632
Research Analyst,Pune,Female,Diploma,28,1530.077
Research Analyst,Chennai,Male,B.Com,26,1981.053
Research Analyst,Gurugram,Female,Diploma,6,807.829
Research Analyst,Hyderabad,Male,BCA,22,1020.686
Research Analyst,Pune,Male,B.Tech/B.E.,22,658.858
Research Analyst,Pune,Male,BCA,10,847.899
Production support,vishakapatnam - Andhra Pradesh,Male,B.Sc,25,1981.243
Mainframe Support,Chennai,Male,B.Tech/B.E.,25,1706.155
Mainframe Nasco,Chennai,Female,B.Sc,9,692.845
Research Analyst,Chennai,Male,B.Com,8,1629.444
Data Science,Bengaluru,Female,B.Tech/B.E.,22,1796.718
Mainframe Nasco,Pune,Female,B.Tech/B.E.,13,761.393
Research Analyst,Pune,Male,B.A,25,1366.328
Mainframe Nasco,Mumbai,Male,B.Sc,15,617.839
Research Analyst,Pune,Female,BCA,5,2175.627
AWS Cloud Architect,Mumbai,Male,B.Com,19,1565.085
Research Analyst,New Delhi,Male,B.Tech/B.E.,23,810.072
Research Analyst,Noida,Female,B.Com,18,2291.449
AWS solution Architect,Ahemdabad - Gujarat,Female,Diploma,8,712.496
Research Analyst,Noida,Female,BCA,18,1988.78
Research Analyst,Noida,Female,B.Tech/B.E.,8,2081.173
Research Analyst,Patna,Male,B.A,19,1270.377
production middleware,Bengaluru,Male,B.A,24,836.37
Azure/devops,Lucknow,Male,B.A,7,1470.643
production middleware,Mumbai,Female,B.Tech/B.E.,23,1127.357
ServiceNow DeveloperSAM,Noida,Male,BCA,13,2101.295
Computer Vision,Ghaziabad,Female,B.Sc,6,911.834
Computer Vision,Pune,Male,B.Tech/B.E.,26,1313.398
Mendix,Navi Mumbai,Male,BCA,8,517.722
Research Anlyst,Noida,Male,B.Com,17,1734.881
Research Analyst,Pune,Male,B.Com,6,1472.71
Senior Identity Engineer,Nagpur,Male,B.Tech/B.E.,27,1244.818
Oracle webcenter,Hyderabad,Male,B.Tech/B.E.,28,1016.415
DevSecOps Engineer,Noida,Female,B.Com,15,831.303
IOS Developer,Chennai,Female,B.B.A/ B.M.S,17,1205.201
SAP ATTP,New Delhi,Female,BCA,19,1930.0
Research Analyst,Visakhapatnam,Female,B.Tech/B.E.,26,1370.526
RPA Developer,Bengaluru,Male,BCA,5,2275.649
Senior Identity Engineer,Bengaluru,Female,B.B.A/ B.M.S,28,2460.468
Research Analyst,Hyderabad,Male,B.Tech/B.E.,5,1741.835
Research Analyst,Noida,Female,B.Tech/B.E.,13,812.315
Research Analyst,Gurugram,Male,B.Com,5,969.223
Maths Teacher,"Fazilka , Punjab - Punjab",Male,B.Sc,16,2343.68
Maths Teacher,Coimbatore,Male,B.Com,27,2052.237
Maths Teacher,Indore,Female,B.Com,21,2230.434
Maths Teacher,Hyderabad,Male,B.Tech/B.E.,7,764.319
Maths Teacher,Noida,Male,BCA,22,1199.944
Research Analyst,"Cuttack, Odisha - Odisha",Female,B.Tech/B.E.,17,2011.198
Research Analyst,New Delhi,Male,B.Tech/B.E.,17,1261.536
Research Analyst,Hyderabad,Male,B.Tech/B.E.,26,1867.161
High Touch Operations,Kanpur,Male,B.Com,16,1085.987
HR DATA BA,Navi Mumbai,Male,B.Tech/B.E.,18,1597.996
data analys/collibra,Bhubaneswar,Female,B.Tech/B.E.,25,927.292
Research Analyst,New Delhi,Male,B.Com,12,1943.936
Maths Teacher,Pune,Male,B.Com,19,2222.999
IBM API,Chennai,Male,B.Tech/B.E.,16,820.219
Research Analyst,Ayodhya - Uttar Pradesh,Male,BCA,6,941.954
Research Analyst,Hyderabad,Male,B.Tech/B.E.,12,560.901
Research Analyst,Hubli,Female,B.B.A/ B.M.S,14,2005.429
Research Analyst,Gurugram,Male,B.Com,17,1940.288
RPA Developer,Mumbai,Male,B.Sc,25,665.523
Research Analyst,Bengaluru,Female,B.Tech/B.E.,15,1273.831
Maths Teacher,Patna,Male,BCA,6,1956.635
Maths Teacher,Pune,Male,B.Tech/B.E.,10,2384.623
Maths Teacher,Hyderabad,Male,B.B.A/ B.M.S,27,1351.463
Maths Teacher,Nagaur,Male,B.Tech/B.E.,15,1889.017
GCP Admin,New Delhi,Female,B.Tech/B.E.,17,898.555
Maths Teacher,Lucknow,Male,B.Sc,26,2406.894
Maths Teacher,Noida,Female,BCA,6,1633.451
Research analyst,Chennai,Female,B.A,20,2156.546
Data Engineer,New Delhi,Female,B.Tech/B.E.,12,600.947
Research analyst,Dhanbad,Male,B.Sc,16,1394.059
Mainframe Nasco,New Delhi,Female,B.Tech/B.E.,10,614.744
Research Analyst,New Delhi,Male,B.Tech/B.E.,28,1072.169
Collibra,Bengaluru,Male,BCA,6,1669.79
Research analyst,Pune,Female,B.Sc,11,1137.834
MATH,New Delhi,Male,B.Tech/B.E.,19,1956.643
Servicenow Developer SAM,Bengaluru,Male,BCA,23,2053.667
C+Linux,Mohali,Male,B.Tech/B.E.,16,743.499
C+ Linux,Faridabad,Male,B.Com,12,2017.348
Research Analyst,New Delhi,Male,B.Tech/B.E.,21,2333.331
C+ Linux,Hyderabad,Female,B.Tech/B.E.,14,705.072
Research Analyst,New Delhi,Female,B.Com,16,2327.716
Research analyst,Noida,Female,B.Sc,20,1162.755
Maths Teacher,Chennai,Male,B.Sc,20,1120.56
C+ Linux,New Delhi,Male,B.Tech/B.E.,20,1534.668
Research analyst,New Delhi,Female,Diploma,19,2118.611
C+ Linux,Hyderabad,Male,BCA,13,2148.397
Research analyst,Bengaluru,Female,B.Tech/B.E.,15,2104.487
BA/market research,Lucknow,Female,BCA,5,2333.715
Maths Teacher,New Delhi,Female,BCA,5,1233.958
Research analyst,Gurugram,Male,B.Tech/B.E.,26,2435.84
C+ Linux,Pune,Female,B.Sc,11,2052.377
C+ Linux,Paonta Sahib,Male,B.Sc,25,1883.731
Research analyst,Gurugram,Male,Diploma,24,2493.345
C+ Linux,Pune,Male,B.Tech/B.E.,12,1694.145
Maths Teacher,Hyderabad,Male,B.B.A/ B.M.S,9,2414.088
Maths Teacher,Hyderabad,Male,B.Sc,12,879.759
Maths Teacher,Noida,Female,B.Tech/B.E.,7,2082.529
Maths Teacher,Bengaluru,Male,B.A,15,1727.764
Maths Teacher,Pune,Female,B.Com,12,2331.9
Maths Teacher,Hyderabad,Male,B.Tech/B.E.,5,584.011
research analyst,Nagaur,Male,B.Tech/B.E.,19,838.203
Research analyst,New Delhi,Female,B.Sc,15,2226.493
Research analyst,Lucknow,Female,B.A,26,1257.873
